"Step","phase2_balanced_resnet50 - train/loss","phase2_balanced_resnet50 - train/loss__MIN","phase2_balanced_resnet50 - train/loss__MAX","phase2_balanced_convnext_tiny - train/loss","phase2_balanced_convnext_tiny - train/loss__MIN","phase2_balanced_convnext_tiny - train/loss__MAX","phase2_balanced_vit_b_16 - train/loss","phase2_balanced_vit_b_16 - train/loss__MIN","phase2_balanced_vit_b_16 - train/loss__MAX","phase2_balanced_swin_t - train/loss","phase2_balanced_swin_t - train/loss__MIN","phase2_balanced_swin_t - train/loss__MAX","dinov2_small - train/loss","dinov2_small - train/loss__MIN","dinov2_small - train/loss__MAX","swin_t - train/loss","swin_t - train/loss__MIN","swin_t - train/loss__MAX","vit_b_16 - train/loss","vit_b_16 - train/loss__MIN","vit_b_16 - train/loss__MAX","convnext_tiny - train/loss","convnext_tiny - train/loss__MIN","convnext_tiny - train/loss__MAX","efficientnet_b3 - train/loss","efficientnet_b3 - train/loss__MIN","efficientnet_b3 - train/loss__MAX","cnn_baseline - train/loss","cnn_baseline - train/loss__MIN","cnn_baseline - train/loss__MAX"
"0","0.002923586031064372","0.002923586031064372","0.002923586031064372","0.0023448635360039474","0.0023448635360039474","0.0023448635360039474","0.00309491181139673","0.00309491181139673","0.00309491181139673","0.003063921518562993","0.003063921518562993","0.003063921518562993","0.0031454750521117117","0.0031454750521117117","0.0031454750521117117","0.003105061114292262","0.003105061114292262","0.003105061114292262","0.003315017250017801","0.003315017250017801","0.003315017250017801","0.002673061227641051","0.002673061227641051","0.002673061227641051","0.003337373427851036","0.003337373427851036","0.003337373427851036","0.002348326512252479","0.002348326512252479","0.002348326512252479"
"1","0.0014706080435432803","0.0014706080435432803","0.0014706080435432803","0.0012567058059092166","0.0012567058059092166","0.0012567058059092166","0.0014287346807834744","0.0014287346807834744","0.0014287346807834744","0.0015406697596637867","0.0015406697596637867","0.0015406697596637867","0.0025424899756682456","0.0025424899756682456","0.0025424899756682456","0.0016514605654302506","0.0016514605654302506","0.0016514605654302506","0.0015341420076942498","0.0015341420076942498","0.0015341420076942498","0.0014036955448608961","0.0014036955448608961","0.0014036955448608961","0.0011019262449015158","0.0011019262449015158","0.0011019262449015158","0.0009137513240777126","0.0009137513240777126","0.0009137513240777126"
"2","0.0010875415220951686","0.0010875415220951686","0.0010875415220951686","0.0010710798690919598","0.0010710798690919598","0.0010710798690919598","0.0010581980829475262","0.0010581980829475262","0.0010581980829475262","0.0013080906177385238","0.0013080906177385238","0.0013080906177385238","0.0028558851957934984","0.0028558851957934984","0.0028558851957934984","0.0014689272019787504","0.0014689272019787504","0.0014689272019787504","0.001189792885123002","0.001189792885123002","0.001189792885123002","0.0010113788518628264","0.0010113788518628264","0.0010113788518628264","0.0007791470659724074","0.0007791470659724074","0.0007791470659724074","0.0007378931483485591","0.0007378931483485591","0.0007378931483485591"
"3","0.0008861270909869882","0.0008861270909869882","0.0008861270909869882","0.0009462205447936558","0.0009462205447936558","0.0009462205447936558","0.0007775631478401709","0.0007775631478401709","0.0007775631478401709","0.001011868014464776","0.001011868014464776","0.001011868014464776","0.0025335398209105795","0.0025335398209105795","0.0025335398209105795","0.0012612815118459187","0.0012612815118459187","0.0012612815118459187","0.0009107241749330108","0.0009107241749330108","0.0009107241749330108","0.0008663852460352307","0.0008663852460352307","0.0008663852460352307","0.0006331903119470322","0.0006331903119470322","0.0006331903119470322","0.0006264823965198641","0.0006264823965198641","0.0006264823965198641"
"4","0.0009240515505764823","0.0009240515505764823","0.0009240515505764823","0.000839395962796956","0.000839395962796956","0.000839395962796956","0.0007003723713287927","0.0007003723713287927","0.0007003723713287927","0.0009624309770526531","0.0009624309770526531","0.0009624309770526531","0.0022573712487109774","0.0022573712487109774","0.0022573712487109774","0.0010399335990433104","0.0010399335990433104","0.0010399335990433104","0.0007480032639296155","0.0007480032639296155","0.0007480032639296155","0.0007323274067960202","0.0007323274067960202","0.0007323274067960202","0.0005365537329634599","0.0005365537329634599","0.0005365537329634599","0.0005593603775462657","0.0005593603775462657","0.0005593603775462657"
"5","0.0008078967462354391","0.0008078967462354391","0.0008078967462354391","0.0007406166953739192","0.0007406166953739192","0.0007406166953739192","0.0005985448179464055","0.0005985448179464055","0.0005985448179464055","0.0009183270990597087","0.0009183270990597087","0.0009183270990597087","0.0021464800635797865","0.0021464800635797865","0.0021464800635797865","0.0009591552682579411","0.0009591552682579411","0.0009591552682579411","0.0006668671604858478","0.0006668671604858478","0.0006668671604858478","0.0006057855929611186","0.0006057855929611186","0.0006057855929611186","0.00045736685916719763","0.00045736685916719763","0.00045736685916719763","0.0004972899887741476","0.0004972899887741476","0.0004972899887741476"
"6","0.0007537764365363279","0.0007537764365363279","0.0007537764365363279","0.0006372431366680981","0.0006372431366680981","0.0006372431366680981","0.0005097278387173119","0.0005097278387173119","0.0005097278387173119","0.0007848730687140327","0.0007848730687140327","0.0007848730687140327","0.0019816732364296157","0.0019816732364296157","0.0019816732364296157","0.0008709120284200022","0.0008709120284200022","0.0008709120284200022","0.0005417099513206697","0.0005417099513206697","0.0005417099513206697","0.0006073676757233474","0.0006073676757233474","0.0006073676757233474","0.00040035221525275906","0.00040035221525275906","0.00040035221525275906","0.00042641577031306125","0.00042641577031306125","0.00042641577031306125"
"7","0.0005688055465682806","0.0005688055465682806","0.0005688055465682806","0.0005249797074207235","0.0005249797074207235","0.0005249797074207235","0.0004473292411502126","0.0004473292411502126","0.0004473292411502126","0.0006946861307100545","0.0006946861307100545","0.0006946861307100545","0.0018269691446029532","0.0018269691446029532","0.0018269691446029532","0.0007448325649211252","0.0007448325649211252","0.0007448325649211252","0.0004910494895445674","0.0004910494895445674","0.0004910494895445674","0.00048138696105304513","0.00048138696105304513","0.00048138696105304513","0.00035717799262879657","0.00035717799262879657","0.00035717799262879657","0.0003618918713310711","0.0003618918713310711","0.0003618918713310711"
"8","0.0005345139007224656","0.0005345139007224656","0.0005345139007224656","0.0005337994048584463","0.0005337994048584463","0.0005337994048584463","0.00040282596596362305","0.00040282596596362305","0.00040282596596362305","0.0006547087670462054","0.0006547087670462054","0.0006547087670462054","0.0016561331740447903","0.0016561331740447903","0.0016561331740447903","0.0006818618695565134","0.0006818618695565134","0.0006818618695565134","0.00042946034093514725","0.00042946034093514725","0.00042946034093514725","0.0004313909486731373","0.0004313909486731373","0.0004313909486731373","0.00031469306684542536","0.00031469306684542536","0.00031469306684542536","0.00033259615565111873","0.00033259615565111873","0.00033259615565111873"
"9","0.00044161403268356994","0.00044161403268356994","0.00044161403268356994","0.0004205740114751651","0.0004205740114751651","0.0004205740114751651","0.0003366866296803588","0.0003366866296803588","0.0003366866296803588","0.0005658717379368978","0.0005658717379368978","0.0005658717379368978","0.0014862126032811074","0.0014862126032811074","0.0014862126032811074","0.0005983369605568101","0.0005983369605568101","0.0005983369605568101","0.00036298417477569945","0.00036298417477569945","0.00036298417477569945","0.0003768933876536972","0.0003768933876536972","0.0003768933876536972","0.00028255698806252394","0.00028255698806252394","0.00028255698806252394","0.00028052294103552794","0.00028052294103552794","0.00028052294103552794"
