"Step","dinov3_l_lora_balanced - val/err_male","dinov3_l_lora_balanced - val/err_male__MIN","dinov3_l_lora_balanced - val/err_male__MAX","dinov3_l_full_ft - val/err_male","dinov3_l_full_ft - val/err_male__MIN","dinov3_l_full_ft - val/err_male__MAX","dinov3_l_lora - val/err_male","dinov3_l_lora - val/err_male__MIN","dinov3_l_lora - val/err_male__MAX"
"0","0.0017146074678748846","0.0017146074678748846","0.0017146074678748846","0.0016950629651546478","0.0016950629651546478","0.0016950629651546478","0.001551712048240006","0.001551712048240006","0.001551712048240006"
"1","0.001446080394089222","0.001446080394089222","0.001446080394089222","0.001655681524425745","0.001655681524425745","0.001655681524425745","0.0010767518542706966","0.0010767518542706966","0.0010767518542706966"
"2","0.0013008947717025876","0.0013008947717025876","0.0013008947717025876","0.0012209615670144558","0.0012209615670144558","0.0012209615670144558","0.0010424396023154259","0.0010424396023154259","0.0010424396023154259"
"3","0.0013255018275231123","0.0013255018275231123","0.0013255018275231123","0.0011982796713709831","0.0011982796713709831","0.0011982796713709831","0.0012519449228420854","0.0012519449228420854","0.0012519449228420854"
"4","0.0015115223359316587","0.0015115223359316587","0.0015115223359316587","0.0013516186736524105","0.0013516186736524105","0.0013516186736524105","0.0012165826046839356","0.0012165826046839356","0.0012165826046839356"
"5","0.0013071127468720078","0.0013071127468720078","0.0013071127468720078","0.0010839542374014854","0.0010839542374014854","0.0010839542374014854","0.0010328643256798387","0.0010328643256798387","0.0010328643256798387"
"6","0.0011593404924497008","0.0011593404924497008","0.0011593404924497008","0.0011161604197695851","0.0011161604197695851","0.0011161604197695851","0.0010121396044269204","0.0010121396044269204","0.0010121396044269204"
"7","0.001267799991182983","0.001267799991182983","0.001267799991182983","0.0010491274297237396","0.0010491274297237396","0.0010491274297237396","0.0009617228643037379","0.0009617228643037379","0.0009617228643037379"
"8","0.0010504120728000998","0.0010504120728000998","0.0010504120728000998","0.0010413688141852617","0.0010413688141852617","0.0010413688141852617","0.0008953642682172358","0.0008953642682172358","0.0008953642682172358"
"9","0.001134703983552754","0.001134703983552754","0.001134703983552754","0.0010521237272769213","0.0010521237272769213","0.0010521237272769213","0.0009508108487352729","0.0009508108487352729","0.0009508108487352729"
"10","0.0010207018349319696","0.0010207018349319696","0.0010207018349319696","0.001046922174282372","0.001046922174282372","0.001046922174282372","0.0009195671300403774","0.0009195671300403774","0.0009195671300403774"
"11","0.0010341800516471267","0.0010341800516471267","0.0010341800516471267","0.001057505956850946","0.001057505956850946","0.001057505956850946","0.0009057316347025335","0.0009057316347025335","0.0009057316347025335"
"12","0.000948115426581353","0.000948115426581353","0.000948115426581353","","","","0.0008688115631230175","0.0008688115631230175","0.0008688115631230175"
"13","0.0009365536388941109","0.0009365536388941109","0.0009365536388941109","","","","0.0008583145681768656","0.0008583145681768656","0.0008583145681768656"
"14","0.0009281091624870896","0.0009281091624870896","0.0009281091624870896","","","","0.0008673450793139637","0.0008673450793139637","0.0008673450793139637"
