"Step","dinov3_l_lora_balanced - val/err_female","dinov3_l_lora_balanced - val/err_female__MIN","dinov3_l_lora_balanced - val/err_female__MAX","dinov3_l_full_ft - val/err_female","dinov3_l_full_ft - val/err_female__MIN","dinov3_l_full_ft - val/err_female__MAX","dinov3_l_lora - val/err_female","dinov3_l_lora - val/err_female__MIN","dinov3_l_lora - val/err_female__MAX"
"0","0.0017036712961271405","0.0017036712961271405","0.0017036712961271405","0.0012417228426784277","0.0012417228426784277","0.0012417228426784277","0.0015813240315765142","0.0015813240315765142","0.0015813240315765142"
"1","0.0009363271528854966","0.0009363271528854966","0.0009363271528854966","0.001301304786466062","0.001301304786466062","0.001301304786466062","0.0006749472813680768","0.0006749472813680768","0.0006749472813680768"
"2","0.0009172044810838997","0.0009172044810838997","0.0009172044810838997","0.0008062386768870056","0.0008062386768870056","0.0008062386768870056","0.0006617657491005957","0.0006617657491005957","0.0006617657491005957"
"3","0.0010090252617374063","0.0010090252617374063","0.0010090252617374063","0.0008235647692345083","0.0008235647692345083","0.0008235647692345083","0.0010724596213549376","0.0010724596213549376","0.0010724596213549376"
"4","0.0012074358528479934","0.0012074358528479934","0.0012074358528479934","0.0008984585292637348","0.0008984585292637348","0.0008984585292637348","0.0008498281822539866","0.0008498281822539866","0.0008498281822539866"
"5","0.0011105984449386597","0.0011105984449386597","0.0011105984449386597","0.0007079392089508474","0.0007079392089508474","0.0007079392089508474","0.0005970248603262007","0.0005970248603262007","0.0005970248603262007"
"6","0.0007820947794243693","0.0007820947794243693","0.0007820947794243693","0.000778628047555685","0.000778628047555685","0.000778628047555685","0.0005602032179012895","0.0005602032179012895","0.0005602032179012895"
"7","0.0008008479489944875","0.0008008479489944875","0.0008008479489944875","0.0007005351944826543","0.0007005351944826543","0.0007005351944826543","0.0005277307354845107","0.0005277307354845107","0.0005277307354845107"
"8","0.0006355290533974767","0.0006355290533974767","0.0006355290533974767","0.0006929298979230225","0.0006929298979230225","0.0006929298979230225","0.0005671624094247818","0.0005671624094247818","0.0005671624094247818"
"9","0.0007548670982941985","0.0007548670982941985","0.0007548670982941985","0.0006670313305221498","0.0006670313305221498","0.0006670313305221498","0.0005801424267701805","0.0005801424267701805","0.0005801424267701805"
"10","0.0005671234684996307","0.0005671234684996307","0.0005671234684996307","0.0006769411265850067","0.0006769411265850067","0.0006769411265850067","0.0005178432911634445","0.0005178432911634445","0.0005178432911634445"
"11","0.0006012643571011722","0.0006012643571011722","0.0006012643571011722","0.000686848012264818","0.000686848012264818","0.000686848012264818","0.0005030144820921123","0.0005030144820921123","0.0005030144820921123"
"12","0.0005363170057535172","0.0005363170057535172","0.0005363170057535172","","","","0.00046583457151427865","0.00046583457151427865","0.00046583457151427865"
"13","0.0005212519317865372","0.0005212519317865372","0.0005212519317865372","","","","0.00045425104326568544","0.00045425104326568544","0.00045425104326568544"
"14","0.0005254069110378623","0.0005254069110378623","0.0005254069110378623","","","","0.0004574331105686724","0.0004574331105686724","0.0004574331105686724"
