"Step","dinov3_l_lora_balanced - val/err_diff","dinov3_l_lora_balanced - val/err_diff__MIN","dinov3_l_lora_balanced - val/err_diff__MAX","dinov3_l_full_ft - val/err_diff","dinov3_l_full_ft - val/err_diff__MIN","dinov3_l_full_ft - val/err_diff__MAX","dinov3_l_lora - val/err_diff","dinov3_l_lora - val/err_diff__MIN","dinov3_l_lora - val/err_diff__MAX"
"0","-0.000010936171747744083","-0.000010936171747744083","-0.000010936171747744083","-0.00045334012247622013","-0.00045334012247622013","-0.00045334012247622013","0.000029611983336508274","0.000029611983336508274","0.000029611983336508274"
"1","-0.0005097532412037253","-0.0005097532412037253","-0.0005097532412037253","-0.00035437673795968294","-0.00035437673795968294","-0.00035437673795968294","-0.00040180457290261984","-0.00040180457290261984","-0.00040180457290261984"
"2","-0.00038369029061868787","-0.00038369029061868787","-0.00038369029061868787","-0.00041472289012745023","-0.00041472289012745023","-0.00041472289012745023","-0.00038067385321483016","-0.00038067385321483016","-0.00038067385321483016"
"3","-0.00031647656578570604","-0.00031647656578570604","-0.00031647656578570604","-0.00037471490213647485","-0.00037471490213647485","-0.00037471490213647485","-0.0001794853014871478","-0.0001794853014871478","-0.0001794853014871478"
"4","-0.00030408648308366537","-0.00030408648308366537","-0.00030408648308366537","-0.0004531601443886757","-0.0004531601443886757","-0.0004531601443886757","-0.00036675442242994905","-0.00036675442242994905","-0.00036675442242994905"
"5","-0.00019651430193334818","-0.00019651430193334818","-0.00019651430193334818","-0.00037601502845063806","-0.00037601502845063806","-0.00037601502845063806","-0.00043583946535363793","-0.00043583946535363793","-0.00043583946535363793"
"6","-0.0003772457130253315","-0.0003772457130253315","-0.0003772457130253315","-0.0003375323722139001","-0.0003375323722139001","-0.0003375323722139001","-0.00045193638652563095","-0.00045193638652563095","-0.00045193638652563095"
"7","-0.0004669520421884954","-0.0004669520421884954","-0.0004669520421884954","-0.0003485922352410853","-0.0003485922352410853","-0.0003485922352410853","-0.0004339921288192272","-0.0004339921288192272","-0.0004339921288192272"
"8","-0.0004148830194026232","-0.0004148830194026232","-0.0004148830194026232","-0.0003484389162622392","-0.0003484389162622392","-0.0003484389162622392","-0.000328201858792454","-0.000328201858792454","-0.000328201858792454"
"9","-0.0003798368852585554","-0.0003798368852585554","-0.0003798368852585554","-0.00038509239675477147","-0.00038509239675477147","-0.00038509239675477147","-0.0003706684219650924","-0.0003706684219650924","-0.0003706684219650924"
"10","-0.00045357836643233895","-0.00045357836643233895","-0.00045357836643233895","-0.0003699810476973653","-0.0003699810476973653","-0.0003699810476973653","-0.00040172383887693286","-0.00040172383887693286","-0.00040172383887693286"
"11","-0.00043291569454595447","-0.00043291569454595447","-0.00043291569454595447","-0.000370657944586128","-0.000370657944586128","-0.000370657944586128","-0.0004027171526104212","-0.0004027171526104212","-0.0004027171526104212"
"12","-0.0004117984208278358","-0.0004117984208278358","-0.0004117984208278358","","","","-0.0004029769916087389","-0.0004029769916087389","-0.0004029769916087389"
"13","-0.00041530170710757375","-0.00041530170710757375","-0.00041530170710757375","","","","-0.00040406352491118014","-0.00040406352491118014","-0.00040406352491118014"
"14","-0.00040270225144922733","-0.00040270225144922733","-0.00040270225144922733","","","","-0.00040991196874529123","-0.00040991196874529123","-0.00040991196874529123"
