"Step","phase2_balanced_resnet50 - val/err_diff","phase2_balanced_resnet50 - val/err_diff__MIN","phase2_balanced_resnet50 - val/err_diff__MAX","phase2_balanced_convnext_tiny - val/err_diff","phase2_balanced_convnext_tiny - val/err_diff__MIN","phase2_balanced_convnext_tiny - val/err_diff__MAX","phase2_balanced_vit_b_16 - val/err_diff","phase2_balanced_vit_b_16 - val/err_diff__MIN","phase2_balanced_vit_b_16 - val/err_diff__MAX","phase2_balanced_swin_t - val/err_diff","phase2_balanced_swin_t - val/err_diff__MIN","phase2_balanced_swin_t - val/err_diff__MAX","dinov2_small - val/err_diff","dinov2_small - val/err_diff__MIN","dinov2_small - val/err_diff__MAX","swin_t - val/err_diff","swin_t - val/err_diff__MIN","swin_t - val/err_diff__MAX","vit_b_16 - val/err_diff","vit_b_16 - val/err_diff__MIN","vit_b_16 - val/err_diff__MAX","convnext_tiny - val/err_diff","convnext_tiny - val/err_diff__MIN","convnext_tiny - val/err_diff__MAX","efficientnet_b3 - val/err_diff","efficientnet_b3 - val/err_diff__MIN","efficientnet_b3 - val/err_diff__MAX","cnn_baseline - val/err_diff","cnn_baseline - val/err_diff__MIN","cnn_baseline - val/err_diff__MAX"
"0","-0.0004904522793367505","-0.0004904522793367505","-0.0004904522793367505","-0.0004194416105747223","-0.0004194416105747223","-0.0004194416105747223","-0.0003342247800901532","-0.0003342247800901532","-0.0003342247800901532","-0.0003695104969665408","-0.0003695104969665408","-0.0003695104969665408","-0.0004520157817751169","-0.0004520157817751169","-0.0004520157817751169","-0.00029074610210955143","-0.00029074610210955143","-0.00029074610210955143","-0.00014798028860241175","-0.00014798028860241175","-0.00014798028860241175","-0.0003549436223693192","-0.0003549436223693192","-0.0003549436223693192","-0.00013787636999040842","-0.00013787636999040842","-0.00013787636999040842","","",""
"1","-0.00026666070334613323","-0.00026666070334613323","-0.00026666070334613323","-0.0002437183284200728","-0.0002437183284200728","-0.0002437183284200728","-0.00021977850701659918","-0.00021977850701659918","-0.00021977850701659918","-0.0003948521916754544","-0.0003948521916754544","-0.0003948521916754544","-0.0003052150132134557","-0.0003052150132134557","-0.0003052150132134557","-0.0004205299192108214","-0.0004205299192108214","-0.0004205299192108214","-0.0004011730197817087","-0.0004011730197817087","-0.0004011730197817087","-0.0003237344208173454","-0.0003237344208173454","-0.0003237344208173454","-0.00014841090887784958","-0.00014841090887784958","-0.00014841090887784958","","",""
"2","-0.0005116328247822821","-0.0005116328247822821","-0.0005116328247822821","-0.00040969339897856116","-0.00040969339897856116","-0.00040969339897856116","-0.0004269577329978347","-0.0004269577329978347","-0.0004269577329978347","-0.0003856755793094635","-0.0003856755793094635","-0.0003856755793094635","-0.0006996194133535028","-0.0006996194133535028","-0.0006996194133535028","-0.00034421368036419153","-0.00034421368036419153","-0.00034421368036419153","-0.00040771637577563524","-0.00040771637577563524","-0.00040771637577563524","-0.00040906097274273634","-0.00040906097274273634","-0.00040906097274273634","-0.0003429964417591691","-0.0003429964417591691","-0.0003429964417591691","","",""
"3","-0.000341200502589345","-0.000341200502589345","-0.000341200502589345","-0.0004501019138842821","-0.0004501019138842821","-0.0004501019138842821","-0.00039358355570584536","-0.00039358355570584536","-0.00039358355570584536","-0.00031062436755746603","-0.00031062436755746603","-0.00031062436755746603","-0.0004099421203136444","-0.0004099421203136444","-0.0004099421203136444","-0.00020078301895409822","-0.00020078301895409822","-0.00020078301895409822","-0.00039706722600385547","-0.00039706722600385547","-0.00039706722600385547","-0.0002942152786999941","-0.0002942152786999941","-0.0002942152786999941","-0.000256576226092875","-0.000256576226092875","-0.000256576226092875","","",""
"4","-0.0006853715167380869","-0.0006853715167380869","-0.0006853715167380869","-0.0003449890064075589","-0.0003449890064075589","-0.0003449890064075589","-0.00026773189892992377","-0.00026773189892992377","-0.00026773189892992377","-0.00041428004624322057","-0.00041428004624322057","-0.00041428004624322057","-0.0003812976647168398","-0.0003812976647168398","-0.0003812976647168398","-0.0004250430501997471","-0.0004250430501997471","-0.0004250430501997471","-0.00016463117208331823","-0.00016463117208331823","-0.00016463117208331823","-0.0003930577076971531","-0.0003930577076971531","-0.0003930577076971531","-0.0005081506096757948","-0.0005081506096757948","-0.0005081506096757948","","",""
"5","-0.0004422632628120482","-0.0004422632628120482","-0.0004422632628120482","-0.0005147132324054837","-0.0005147132324054837","-0.0005147132324054837","-0.00044759613228961825","-0.00044759613228961825","-0.00044759613228961825","-0.00040539854671806097","-0.00040539854671806097","-0.00040539854671806097","-0.0007198858074843884","-0.0007198858074843884","-0.0007198858074843884","-0.00048131326911970973","-0.00048131326911970973","-0.00048131326911970973","-0.00027192174457013607","-0.00027192174457013607","-0.00027192174457013607","-0.00041851622518152","-0.00041851622518152","-0.00041851622518152","-0.0004978010547347367","-0.0004978010547347367","-0.0004978010547347367","","",""
"6","-0.0004503451636992395","-0.0004503451636992395","-0.0004503451636992395","-0.0003854521200992167","-0.0003854521200992167","-0.0003854521200992167","-0.0003523668856360018","-0.0003523668856360018","-0.0003523668856360018","-0.0003571168635971844","-0.0003571168635971844","-0.0003571168635971844","-0.0006335515063256025","-0.0006335515063256025","-0.0006335515063256025","-0.0004427485400810838","-0.0004427485400810838","-0.0004427485400810838","-0.0003706838469952345","-0.0003706838469952345","-0.0003706838469952345","-0.00045127124758437276","-0.00045127124758437276","-0.00045127124758437276","-0.00034111132845282555","-0.00034111132845282555","-0.00034111132845282555","","",""
"7","-0.0004913691664114594","-0.0004913691664114594","-0.0004913691664114594","-0.000313916418235749","-0.000313916418235749","-0.000313916418235749","-0.00038652383955195546","-0.00038652383955195546","-0.00038652383955195546","-0.000490857579279691","-0.000490857579279691","-0.000490857579279691","-0.0005403902614489198","-0.0005403902614489198","-0.0005403902614489198","-0.00043475301936268806","-0.00043475301936268806","-0.00043475301936268806","-0.00039128283970057964","-0.00039128283970057964","-0.00039128283970057964","-0.00040137721225619316","-0.00040137721225619316","-0.00040137721225619316","-0.0004421500489115715","-0.0004421500489115715","-0.0004421500489115715","","",""
"8","-0.0004503187374211848","-0.0004503187374211848","-0.0004503187374211848","-0.00047689094208180904","-0.00047689094208180904","-0.00047689094208180904","-0.00039640249451622367","-0.00039640249451622367","-0.00039640249451622367","-0.00048127886839210987","-0.00048127886839210987","-0.00048127886839210987","-0.0003719060914590955","-0.0003719060914590955","-0.0003719060914590955","-0.00036630453541874886","-0.00036630453541874886","-0.00036630453541874886","-0.00039960932917892933","-0.00039960932917892933","-0.00039960932917892933","-0.00042361905798316","-0.00042361905798316","-0.00042361905798316","-0.0005014680209569633","-0.0005014680209569633","-0.0005014680209569633","","",""
"9","-0.00048582779709249735","-0.00048582779709249735","-0.00048582779709249735","-0.0004532560706138611","-0.0004532560706138611","-0.0004532560706138611","-0.0003927746438421309","-0.0003927746438421309","-0.0003927746438421309","-0.00044209929183125496","-0.00044209929183125496","-0.00044209929183125496","-0.00047531677410006523","-0.00047531677410006523","-0.00047531677410006523","-0.00036651064874604344","-0.00036651064874604344","-0.00036651064874604344","-0.0004344453918747604","-0.0004344453918747604","-0.0004344453918747604","-0.0004456968745216727","-0.0004456968745216727","-0.0004456968745216727","-0.0005005566636100411","-0.0005005566636100411","-0.0005005566636100411","","",""
"10","-0.0005056266090832651","-0.0005056266090832651","-0.0005056266090832651","-0.00045470945769920945","-0.00045470945769920945","-0.00045470945769920945","-0.0004041124484501779","-0.0004041124484501779","-0.0004041124484501779","-0.000401815224904567","-0.000401815224904567","-0.000401815224904567","-0.0004265931202098727","-0.0004265931202098727","-0.0004265931202098727","-0.0004088450805284083","-0.0004088450805284083","-0.0004088450805284083","-0.0004522046656347811","-0.0004522046656347811","-0.0004522046656347811","-0.0004483677912503481","-0.0004483677912503481","-0.0004483677912503481","-0.0004359387094154954","-0.0004359387094154954","-0.0004359387094154954","","",""
"11","-0.0004479298950172961","-0.0004479298950172961","-0.0004479298950172961","-0.00044473755406215787","-0.00044473755406215787","-0.00044473755406215787","","","","-0.0005461579421535134","-0.0005461579421535134","-0.0005461579421535134","-0.0004783404292538762","-0.0004783404292538762","-0.0004783404292538762","-0.0004028775147162378","-0.0004028775147162378","-0.0004028775147162378","-0.00042368454160168767","-0.00042368454160168767","-0.00042368454160168767","-0.0004615908255800605","-0.0004615908255800605","-0.0004615908255800605","-0.00041457032784819603","-0.00041457032784819603","-0.00041457032784819603","","",""
"12","-0.00048460939433425665","-0.00048460939433425665","-0.00048460939433425665","-0.0004179388051852584","-0.0004179388051852584","-0.0004179388051852584","","","","-0.0004767784266732633","-0.0004767784266732633","-0.0004767784266732633","-0.0007890021661296487","-0.0007890021661296487","-0.0007890021661296487","-0.00043942005140706897","-0.00043942005140706897","-0.00043942005140706897","-0.00046960735926404595","-0.00046960735926404595","-0.00046960735926404595","-0.0004537291533779353","-0.0004537291533779353","-0.0004537291533779353","-0.000479907903354615","-0.000479907903354615","-0.000479907903354615","","",""
"13","-0.0004278831765986979","-0.0004278831765986979","-0.0004278831765986979","-0.000423433753894642","-0.000423433753894642","-0.000423433753894642","","","","-0.0004962219973094761","-0.0004962219973094761","-0.0004962219973094761","-0.0005955747328698635","-0.0005955747328698635","-0.0005955747328698635","-0.0004032311262562871","-0.0004032311262562871","-0.0004032311262562871","-0.0004358677542768419","-0.0004358677542768419","-0.0004358677542768419","-0.00044957036152482033","-0.00044957036152482033","-0.00044957036152482033","-0.0004421976045705378","-0.0004421976045705378","-0.0004421976045705378","","",""
"14","-0.0005057440139353275","-0.0005057440139353275","-0.0005057440139353275","-0.00045155154657550156","-0.00045155154657550156","-0.00045155154657550156","","","","-0.0005189191724639386","-0.0005189191724639386","-0.0005189191724639386","-0.0005359266069717705","-0.0005359266069717705","-0.0005359266069717705","-0.00040649090078659356","-0.00040649090078659356","-0.00040649090078659356","-0.000427637598477304","-0.000427637598477304","-0.000427637598477304","-0.00043721901602111757","-0.00043721901602111757","-0.00043721901602111757","-0.0004936096374876797","-0.0004936096374876797","-0.0004936096374876797","","",""
"15","-0.0005125010793562979","-0.0005125010793562979","-0.0005125010793562979","-0.0004367992514744401","-0.0004367992514744401","-0.0004367992514744401","","","","-0.000503950024722144","-0.000503950024722144","-0.000503950024722144","-0.0005614557303488255","-0.0005614557303488255","-0.0005614557303488255","-0.00041387230157852173","-0.00041387230157852173","-0.00041387230157852173","-0.0004454477457329631","-0.0004454477457329631","-0.0004454477457329631","-0.0004729445499833673","-0.0004729445499833673","-0.0004729445499833673","-0.0004528572899289429","-0.0004528572899289429","-0.0004528572899289429","","",""
"16","-0.0005019524251110852","-0.0005019524251110852","-0.0005019524251110852","-0.00045130090438760817","-0.00045130090438760817","-0.00045130090438760817","","","","-0.000521593727171421","-0.000521593727171421","-0.000521593727171421","-0.0005131856305524707","-0.0005131856305524707","-0.0005131856305524707","-0.0004467478138394654","-0.0004467478138394654","-0.0004467478138394654","-0.0004379937890917063","-0.0004379937890917063","-0.0004379937890917063","-0.000479138019727543","-0.000479138019727543","-0.000479138019727543","-0.0004869687254540622","-0.0004869687254540622","-0.0004869687254540622","","",""
"17","-0.0005146577605046332","-0.0005146577605046332","-0.0005146577605046332","-0.000437982875155285","-0.000437982875155285","-0.000437982875155285","","","","-0.0005136158433742821","-0.0005136158433742821","-0.0005136158433742821","-0.0005600792355835438","-0.0005600792355835438","-0.0005600792355835438","-0.0004352719406597316","-0.0004352719406597316","-0.0004352719406597316","-0.0004371453542262316","-0.0004371453542262316","-0.0004371453542262316","-0.0004606009169947356","-0.0004606009169947356","-0.0004606009169947356","-0.00046063942136242986","-0.00046063942136242986","-0.00046063942136242986","","",""
"18","-0.0005122244183439761","-0.0005122244183439761","-0.0005122244183439761","-0.0004668733454309404","-0.0004668733454309404","-0.0004668733454309404","","","","-0.0005247880471870303","-0.0005247880471870303","-0.0005247880471870303","-0.0005168739007785916","-0.0005168739007785916","-0.0005168739007785916","-0.00042952451622113585","-0.00042952451622113585","-0.00042952451622113585","-0.0004371929098851979","-0.0004371929098851979","-0.0004371929098851979","-0.000481615774333477","-0.000481615774333477","-0.000481615774333477","-0.00046986620873212814","-0.00046986620873212814","-0.00046986620873212814","","",""
"19","-0.0005147048505023122","-0.0005147048505023122","-0.0005147048505023122","-0.00045466574374586344","-0.00045466574374586344","-0.00045466574374586344","","","","-0.0005140368011780083","-0.0005140368011780083","-0.0005140368011780083","-0.0005494477227330208","-0.0005494477227330208","-0.0005494477227330208","-0.0004384731000754982","-0.0004384731000754982","-0.0004384731000754982","-0.0004454542067833245","-0.0004454542067833245","-0.0004454542067833245","-0.00047327455831691623","-0.00047327455831691623","-0.00047327455831691623","-0.0004730155342258513","-0.0004730155342258513","-0.0004730155342258513","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00044731784146279097","-0.00044731784146279097","-0.00044731784146279097"
"21","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0005189521471038461","-0.0005189521471038461","-0.0005189521471038461"
"22","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00047925871331244707","-0.00047925871331244707","-0.00047925871331244707"
"23","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00037637719651684165","-0.00037637719651684165","-0.00037637719651684165"
"24","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0004202740965411067","-0.0004202740965411067","-0.0004202740965411067"
"25","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00038397271418944","-0.00038397271418944","-0.00038397271418944"
"26","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0003909261431545019","-0.0003909261431545019","-0.0003909261431545019"
"27","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.000493035651743412","-0.000493035651743412","-0.000493035651743412"
"28","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00047124456614255905","-0.00047124456614255905","-0.00047124456614255905"
"29","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0006694645853713155","-0.0006694645853713155","-0.0006694645853713155"
"30","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00046047085197642446","-0.00046047085197642446","-0.00046047085197642446"
"31","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00045667984522879124","-0.00045667984522879124","-0.00045667984522879124"
"32","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0005550262285396457","-0.0005550262285396457","-0.0005550262285396457"
"33","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0004927737172693014","-0.0004927737172693014","-0.0004927737172693014"
"34","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0005117962136864662","-0.0005117962136864662","-0.0005117962136864662"
"35","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0005274084978736937","-0.0005274084978736937","-0.0005274084978736937"
"36","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0005278870812617242","-0.0005278870812617242","-0.0005278870812617242"
"37","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0005272279377095401","-0.0005272279377095401","-0.0005272279377095401"
"38","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0005394456093199551","-0.0005394456093199551","-0.0005394456093199551"
"39","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0005453296471387148","-0.0005453296471387148","-0.0005453296471387148"
