"Step","efficientvit_b1 - train/loss","efficientvit_b1 - train/loss__MIN","efficientvit_b1 - train/loss__MAX"
"0","0.01723399751318004","0.01723399751318004","0.01723399751318004"
"1","0.0023503100868124795","0.0023503100868124795","0.0023503100868124795"
"2","0.001733446890397055","0.001733446890397055","0.001733446890397055"
"3","0.0014218890640148485","0.0014218890640148485","0.0014218890640148485"
"4","0.0011905860106676447","0.0011905860106676447","0.0011905860106676447"
"5","0.0010124628662173609","0.0010124628662173609","0.0010124628662173609"
"6","0.0008902886841898331","0.0008902886841898331","0.0008902886841898331"
"7","0.0008035661249586331","0.0008035661249586331","0.0008035661249586331"
"8","0.0006724877855876643","0.0006724877855876643","0.0006724877855876643"
"9","0.0006433075375095476","0.0006433075375095476","0.0006433075375095476"
"10","0.0005282787225820057","0.0005282787225820057","0.0005282787225820057"
